"ID","A1","A2a","A2b","A3","A4","A5","A7_GAS","A7_ELECT","A7_OIL","A7t_LPG","A7_COAL","A7_WOODBIO","A8_boil_more_10","A8_boil_average","A8_boil_condensing","A8_boil_new","A8_boil_unknown","A8_boil_automatic","A8_modern_storage","A8_old_storage","A8_roomheaters","A8_oil_coal_heaters","A8_wood_bio_stove","A8_openfire","A8_heatingsystem_other","A9","A10","A11","A12","A13","A14","A15","A15_GAS","A15_GASBP","A15_GASkw","A15_ELECTRICITY","A15_ELEBP","A15_ELEkw","A15_OIL","A15_OILBP","A15_OILL","A15_LPG","A15_LGPBP","A15_LPGL","A15_COAL","A15_COLBP","A15_COLkg","A15_WOOD_BIOMASS","A15_BIOBP","A15_BIOkg","A16","A17_renewa_solar","A17_renewa_photovolt","A17_renewa_groundheatpump","A17_renewa_woodbio","A17_renewa_hydropow","A17_renewa_airheatpump","A17_renewa_idont","A18_Loft","A18_Loft_thickness","A18_Cavitywall","A18_Solidwall","A18_Underfloor","A18_Draughtexclusion","A18_Doubleglazing","A18_Doubleglazingpercent","A18_Idontknow","A19","A20","A21","A22_numberfridgefreezer","A22_agefridgefreezer","A22_efficiencyfridgfreez","t1_numberfridge","A22_agefridge","A22_efficiencyfridge","t1_numberfreezer","A22_agefreezer","A22_efficiencyfreezer","t1_numberdishwasher","A22_agedishwashers","A22_efficiencydishwasher","t1_dryer","A22_agedryer","A22_efficiencydryer","t1_washingmachine","A22_agewashingmachine","A22_efficiencywashing","A23","A24","A25","A26","A27","A28","A29","A30","A31","A32","A33","A34_TVst","A34_TVlcd","A34_Tvpla","A34_Sat","A34_Cabl","A34_Freev","A34_DVD","A34_VCR","A34_PVR","A34_PC","A34_LapPC","A34_Inkj","A34_Lasr","A34_Scan","A34_Mobch","A34_Othch","A35","A36","A37"
"household_21",2,4,0,1,4,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,6,3,3,2,3,1,1,0,0,4,456,0,4,500,0,1,0,0,4,150,0,4,60,0,2,0,0,0,0,0,0,1,1,7,0,0,0,0,1,1,1,40,35,6,1,1,2,0,1,10,0,1,10,1,1,10,0,1,10,1,1,10,2,2,1,3,2,6,1,2,0,5,5,0,2,0,0,0,1,1,0,0,0,2,1,0,0,2,0,3,3,1
"household_22",2,5,0,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,2,1,3,3,3,1,1,0,0,2,60,0,2,75,0,0,0,0,4,60,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,17,7,7,1,1,2,0,1,10,1,1,10,1,3,10,1,2,10,1,1,3,2,2,1,1,2,6,1,1,0,5,10,0,2,0,2,0,0,2,1,0,1,1,1,0,0,2,4,3,3,5
"household_23",2,4,0,1,5,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,3,1,2,3,1,2,62,0,2,75,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,1,6,1,0,0,0,1,1,1,100,70,6,2,1,2,0,1,10,1,2,10,1,2,2,1,2,10,1,1,2,1,2,1,3,2,7,1,1,0,7,4,0,4,0,3,0,0,2,0,0,1,1,1,0,1,1,1,4,3,6
"household_24",2,5,0,1,4,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,2,2,1,2,3,1,1,0,0,2,25,140,3,0,1000,1,0,0,1,0,0,3,150,0,2,0,0,0,1,0,0,1,1,4,0,0,1,0,1,1,1,36,30,5,1,1,3,0,1,10,1,1,10,1,4,10,1,1,10,1,1,4,2,2,1,1,2,6,2,1,0,5,5,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,2,4,4
"household_28",2,3,2,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,1,3,2,2,1,3,190,5500,3,100,800,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,22,17,6,1,1,10,0,1,10,0,1,10,0,3,10,0,1,10,1,1,10,1,2,1,2,1,6,2,1,0,5,10,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,5,4,3,2
"household_29",1,3,2,1,1,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,5,2,3,2,2,3,1,2,28,0,0,22,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,8,8,2,1,1,10,0,1,10,0,1,10,0,3,10,0,1,10,1,1,10,1,2,1,4,2,7,3,1,7,1,5,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,4,4,4,5
"household_30",2,5,0,1,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,2,3,3,2,2,1,2,150,0,2,50,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,2,1,30,28,6,0,2,10,1,1,10,1,2,10,1,3,10,1,1,10,1,1,10,4,1,1,2,2,6,1,2,0,7,5,2,0,0,0,0,2,2,0,0,1,2,0,0,0,2,0,3,3,3
"household_32",1,3,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,3,2,3,1,1,0,0,3,150,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,1,1,1,16,4,6,1,1,3,0,1,10,0,1,10,0,3,10,0,1,10,1,1,10,2,2,1,2,1,6,3,1,0,7,5,1,1,0,1,0,1,2,0,0,1,1,0,0,0,1,3,2,4,4
"household_34",4,3,1,1,2,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,2,3,2,2,3,1,3,0,0,3,176.38,0,1,135.33,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,24,9,6,1,1,10,1,1,10,1,1,10,1,3,10,1,1,10,1,1,10,2,2,1,10,2,5,3,1,2,7,15,0,2,0,1,0,0,1,0,0,0,1,0,1,0,2,1,2,2,6
"household_37",1,6,0,1,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,1,5,40,0,5,30,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,1,5,0,0,0,1,1,1,1,17,10,7,1,1,10,0,1,10,0,1,10,0,3,10,0,1,10,1,1,10,1,1,1,4,2,5,1,2,0,8,10,1,1,0,1,0,0,0,0,0,1,1,1,0,0,2,0,3,4,3
